Location ,Chemical,fraction,MCL.RSL
CCR-AP-1R,"Antimony, Total",T,0.006
CCR-AP-7,"Antimony, Total",T,0.006
CCR-AP-9,"Antimony, Total",T,0.006
CCR-AP-2,"Antimony, Total",T,0.006
CCR-AP-3,"Antimony, Total",T,0.006
CCR-AP-4R,"Antimony, Total",T,0.006
CCR-AP-5,"Antimony, Total",T,0.006
CCR-AP-6,"Antimony, Total",T,0.006
CCR-AP-8,"Antimony, Total",T,0.006
CCR-AP-1R,"Arsenic, Total",T,0.01
CCR-AP-7,"Arsenic, Total",T,0.01
CCR-AP-9,"Arsenic, Total",T,0.01
CCR-AP-2,"Arsenic, Total",T,0.01
CCR-AP-3,"Arsenic, Total",T,0.01
CCR-AP-4R,"Arsenic, Total",T,0.01
CCR-AP-5,"Arsenic, Total",T,0.01
CCR-AP-6,"Arsenic, Total",T,0.01
CCR-AP-8,"Arsenic, Total",T,0.01
CCR-AP-1R,"Barium, Total",T,2
CCR-AP-7,"Barium, Total",T,2
CCR-AP-9,"Barium, Total",T,2
CCR-AP-2,"Barium, Total",T,2
CCR-AP-3,"Barium, Total",T,2
CCR-AP-4R,"Barium, Total",T,2
CCR-AP-5,"Barium, Total",T,2
CCR-AP-6,"Barium, Total",T,2
CCR-AP-8,"Barium, Total",T,2
CCR-AP-1R,"Beryllium, Total",T,0.004
CCR-AP-7,"Beryllium, Total",T,0.004
CCR-AP-9,"Beryllium, Total",T,0.004
CCR-AP-2,"Beryllium, Total",T,0.004
CCR-AP-3,"Beryllium, Total",T,0.004
CCR-AP-4R,"Beryllium, Total",T,0.004
CCR-AP-5,"Beryllium, Total",T,0.004
CCR-AP-6,"Beryllium, Total",T,0.004
CCR-AP-8,"Beryllium, Total",T,0.004
CCR-AP-1R,"Cadmium, Total",T,0.005
CCR-AP-7,"Cadmium, Total",T,0.005
CCR-AP-9,"Cadmium, Total",T,0.005
CCR-AP-2,"Cadmium, Total",T,0.005
CCR-AP-3,"Cadmium, Total",T,0.005
CCR-AP-4R,"Cadmium, Total",T,0.005
CCR-AP-5,"Cadmium, Total",T,0.005
CCR-AP-6,"Cadmium, Total",T,0.005
CCR-AP-8,"Cadmium, Total",T,0.005
CCR-AP-1R,"Chromium, Total",T,0.1
CCR-AP-7,"Chromium, Total",T,0.1
CCR-AP-9,"Chromium, Total",T,0.1
CCR-AP-2,"Chromium, Total",T,0.1
CCR-AP-3,"Chromium, Total",T,0.1
CCR-AP-4R,"Chromium, Total",T,0.1
CCR-AP-5,"Chromium, Total",T,0.1
CCR-AP-6,"Chromium, Total",T,0.1
CCR-AP-8,"Chromium, Total",T,0.1
CCR-AP-1R,"Cobalt, Total",T,0.006
CCR-AP-7,"Cobalt, Total",T,0.006
CCR-AP-9,"Cobalt, Total",T,0.006
CCR-AP-2,"Cobalt, Total",T,0.006
CCR-AP-3,"Cobalt, Total",T,0.006
